,CNT,SEX,Freq频次,Mean,s.e.标准误差,SD标准差,s.e.标准误差
1,HKG,female,2161,552.96,3.94,90.51,2.23
2,HKG,male,2509,568.38,4.55,100.49,2.18
3,PER,female,3118,358.92,4.75,83.44,2.61
4,PER,male,2917,377.82,3.65,84.24,2.51
5,POL,female,2388,515.53,3.76,86.38,1.59
6,POL,male,2219,519.56,4.25,94.32,2.65
7,SWE,female,2378,479.63,2.41,87.6,1.6
8,SWE,male,2358,476.92,2.97,95.63,1.88
9,USA,female,2453,479,3.91,87.08,1.71
10,USA,male,2525,483.65,3.81,92.4,1.61
